Round 1
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
2,Northern Virginia Vandals,T.J. Hockenson TE | MIN ,,22 sec,191.3,171.3
3,Iowa Ice,Elijah Mitchell RB | PHI ,,16 sec,57.0,0.0
4,Tempe Boozehounds,Brandin Cooks WR | BUF,,43 sec,117.1,76.4
5,Westside Shadows,Jalen Hurts QB | PHI,,15 sec,502.7,405.8
6,Dr Evil,Chase Edmonds RB | WAS,,44 sec,66.2,0.0
7,Baltimore Ragin' Asians,Joe Burrow QB | CIN ,,6 sec,461.0,325.9
8,Oakland Blue Meanies,Clyde Edwards-Helaire RB | KC,,48 sec,89.8,56.4
9,Roswell Aliens,DK Metcalf WR | PIT ,,25 sec,214.4,130.5
10,Springfield Psycho Chickens,Rashod Bateman WR | BAL ,,15 sec,47.0,40.8
11,Espanola Hornets,Michael Thomas WR | ,,1 min 18 sec,43.1,22.9
12,Tulsa Trailer Trash,Cordarrelle Patterson RB | PIT,,7 sec,145.2,89.0
Round 7
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Tulsa Trailer Trash,Bills DST | BUF ,,24 sec,122.0,95.0
2,Espanola Hornets,Tua Tagovailoa QB | ATL ,,36 sec,267.1,13.5
3,Springfield Psycho Chickens,Miles Sanders RB | DAL,,28 sec,237.8,147.1
4,Roswell Aliens,Dak Prescott QB | DAL ,,24 sec,280.1,218.0
5,Oakland Blue Meanies,Chris Godwin WR | TB ,,31 sec,186.3,43.6
6,Baltimore Ragin' Asians,Damien Harris RB | ,,48 sec,82.7,0.0
7,Dr Evil,Christian Kirk WR | SF ,,17 sec,235.7,154.2
8,Westside Shadows,JuJu Smith-Schuster WR | NYG ,,1 min 5 sec,162.2,85.2
9,Tempe Boozehounds,Matthew Stafford QB | LAR,,47 sec,132.5,75.3
10,Iowa Ice,Tom Brady QB | ,,13 sec,348.8,96.3
11,Northern Virginia Vandals,Kareem Hunt RB | KC,,46 sec,109.4,13.2
12,Las Vegas Lechers,Devin Singletary RB | NYG ,,26 sec,175.4,65.8
Round 8
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Las Vegas Lechers,Amari Cooper WR | LV,,30 sec,207.0,159.1
2,Northern Virginia Vandals,Amon-Ra St. Brown WR | DET,,27 sec,214.6,144.3
3,Iowa Ice,Zach Ertz TE | WAS,,52 sec,92.1,81.7
4,Tempe Boozehounds,Adam Thielen WR | PIT ,,49 sec,151.5,23.4
5,Westside Shadows,Cole Kmet TE | CHI,,15 sec,122.3,0.0
6,Dr Evil,Tony Pollard RB | TEN ,,9 sec,244.0,36.9
7,Baltimore Ragin' Asians,Antonio Gibson RB | NE,,10 sec,142.9,18.7
8,Oakland Blue Meanies,Allen Lazard WR | NYJ,,27 sec,144.8,32.3
9,Roswell Aliens,Drake London WR | ATL ,,1 min 27 sec,145.6,15.6
10,Springfield Psycho Chickens,Brandon Aiyuk WR | SF ,,21 sec,203.7,60.5
11,Espanola Hornets,Matt Ryan QB | ,,43 sec,191.5,86.5
12,Tulsa Trailer Trash,DeVonta Smith WR | PHI ,,39 sec,241.3,133.6
Round 9
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Tulsa Trailer Trash,Melvin Gordon RB | ,,16 sec,76.6,12.6
2,Espanola Hornets,Colts DST | IND ,,1 min 48 sec,84.0,23.0
3,Springfield Psycho Chickens,Rhamondre Stevenson RB | NE ,,17 sec,216.0,114.9
4,Roswell Aliens,Rashaad Penny RB | ,,21 sec,50.2,0.0
5,Oakland Blue Meanies,Aaron Rodgers QB | PIT ,,23 sec,280.3,15.3
6,Baltimore Ragin' Asians,Elijah Moore WR | PHI ,,11 sec,70.6,0.0
7,Dr Evil,Hunter Renfrow WR | CAR,,34 sec,62.0,5.2
8,Westside Shadows,George Pickens WR | DAL,,58 sec,140.5,0.0
