Round 1
Pick,Team,Player,Elig,Elapsed Time,
1,Shmickle the Pickle,Christian McCaffrey RB | SF ,,
2,Alaska Fornicating Polar Bears,CeeDee Lamb WR | DAL,,7 sec
3,Espanola chili,Jonathan Taylor RB | IND ,,22 sec
4,Colorado Caribou,Breece Hall RB | NYJ ,,6 sec
5,South Valley Gators,Saquon Barkley RB | PHI ,,1 min 43 sec
6,Deer Valley Vandals,Tyreek Hill WR | MIA ,,12 sec
7,Fantasy Reaper,Bijan Robinson RB | ATL ,,34 sec
8,Santa Fe Southsiders,Justin Jefferson WR | MIN,,30 sec
9,Muscle Beach,Amon-Ra St. Brown WR | DET,,59 sec
10,Roswell Aliens,Ja'Marr Chase WR | CIN ,,38 sec
11,Hawks,A.J. Brown WR | NE ,,45 sec
12,Jew Breez,Garrett Wilson WR | NYJ ,,14 sec
Round 2
Pick,Team,Player,Elig,Elapsed Time,
1,Jew Breez,Jahmyr Gibbs RB | DET ,,6 sec
2,Hawks,Kyren Williams RB | LAR,,38 sec
3,Roswell Aliens,Derrick Henry RB | BAL,,18 sec
4,Muscle Beach,Isiah Pacheco RB | DET ,,34 sec
5,Santa Fe Southsiders,De'Von Achane RB | MIA ,,9 sec
6,Fantasy Reaper,Puka Nacua WR | LAR ,,9 sec
7,Deer Valley Vandals,Travis Etienne RB | NO ,,25 sec
8,South Valley Gators,Nico Collins WR | HOU ,,24 sec
9,Colorado Caribou,Mike Evans WR | SF ,,4 sec
10,Espanola chili,James Cook RB | BUF ,,47 sec
11,Alaska Fornicating Polar Bears,Marvin Harrison Jr. WR | ARI ,,25 sec
12,Shmickle the Pickle,Josh Jacobs RB | GB ,,21 sec
Round 3
Pick,Team,Player,Elig,Elapsed Time,
1,Shmickle the Pickle,Cooper Kupp WR | SEA,,30 sec
2,Alaska Fornicating Polar Bears,Joe Mixon RB | HOU ,,41 sec
3,Espanola chili,Alvin Kamara RB | NO ,,7 sec
4,Colorado Caribou,Rachaad White RB | WAS ,,20 sec
5,South Valley Gators,DeVonta Smith WR | PHI ,,60 sec
6,Deer Valley Vandals,Josh Allen QB | BUF ,,28 sec
7,Fantasy Reaper,Travis Kelce TE | KC,,51 sec
8,Santa Fe Southsiders,Davante Adams WR | LAR ,,5 sec
9,Muscle Beach,Drake London WR | ATL ,,13 sec
10,Roswell Aliens,Deebo Samuel WR | SF ,,29 sec
11,Hawks,Sam LaPorta TE | DET ,,18 sec
12,Jew Breez,Chris Olave WR | NO ,,42 sec
Round 4
Pick,Team,Player,Elig,Elapsed Time,
1,Jew Breez,Kenneth Walker III RB | KC ,,11 sec
2,Hawks,Brandon Aiyuk WR | SF ,,20 sec
3,Roswell Aliens,Lamar Jackson QB | BAL,,2 min 9 sec
4,Muscle Beach,Jaylen Waddle WR | DEN ,,10 sec
5,Santa Fe Southsiders,Najee Harris RB | NYG ,,43 sec
6,Fantasy Reaper,Patrick Mahomes QB | KC ,,11 sec
7,Deer Valley Vandals,James Conner RB | ARI ,,1 min 10 sec
8,South Valley Gators,Jalen Hurts QB | PHI,,18 sec
9,Colorado Caribou,DK Metcalf WR | PIT ,,17 sec
10,Espanola chili,David Montgomery RB | HOU ,,32 sec
11,Alaska Fornicating Polar Bears,Zamir White RB | SF ,,19 sec
12,Shmickle the Pickle,Mark Andrews TE | BAL ,,18 sec
Round 5
Pick,Team,Player,Elig,Elapsed Time,
1,Shmickle the Pickle,Stefon Diggs WR | WAS ,,2 min 6 sec
2,Alaska Fornicating Polar Bears,Jordan Love QB | GB ,,20 sec
3,Espanola chili,Anthony Richardson QB | IND ,,4 sec
4,Colorado Caribou,George Kittle TE | SF ,,19 sec
5,South Valley Gators,Dalton Kincaid TE | BUF ,,54 sec
6,Deer Valley Vandals,DJ Moore WR | BUF ,,12 sec
7,Fantasy Reaper,Amari Cooper WR | LV,,13 sec
8,Santa Fe Southsiders,Trey McBride TE | ARI ,,7 sec
9,Muscle Beach,Tee Higgins WR | CIN ,,17 sec
10,Roswell Aliens,Aaron Jones RB | MIN ,,20 sec
11,Hawks,Michael Pittman WR | PIT ,,40 sec
12,Jew Breez,George Pickens WR | DAL,,9 sec
Round 6
Pick,Team,Player,Elig,Elapsed Time,
1,Jew Breez,Malik Nabers WR | NYG ,,41 sec
2,Hawks,D'Andre Swift RB | CHI,,1 min 8 sec
3,Roswell Aliens,Kyle Pitts TE | ATL ,,28 sec
4,Muscle Beach,Kyler Murray QB | MIN ,,12 sec
5,Santa Fe Southsiders,Zay Flowers WR | BAL ,,57 sec
6,Fantasy Reaper,Tank Dell WR | HOU ,,29 sec
7,Deer Valley Vandals,Rashee Rice WR | KC,,13 sec
8,South Valley Gators,Tony Pollard RB | TEN ,,41 sec
9,Colorado Caribou,Brock Purdy QB | SF ,,6 sec
10,Espanola chili,Cole Kmet TE | CHI,,30 sec
11,Alaska Fornicating Polar Bears,Terry McLaurin WR | WAS ,,47 sec
12,Shmickle the Pickle,Raheem Mostert RB | LV ,,51 sec
Round 7
Pick,Team,Player,Elig,Elapsed Time,
1,Shmickle the Pickle,Dak Prescott QB | DAL ,,57 sec
2,Alaska Fornicating Polar Bears,David Njoku TE | LAC ,,32 sec
3,Espanola chili,Xavier Worthy WR | KC ,,14 sec
4,Colorado Caribou,Rhamondre Stevenson RB | NE ,,19 sec
5,South Valley Gators,Jerome Ford RB | WAS ,,23 sec
6,Deer Valley Vandals,Javonte Williams RB | DAL,,16 sec
7,Fantasy Reaper,Calvin Ridley WR | TEN ,,9 sec
8,Santa Fe Southsiders,Jayden Daniels QB | WAS ,,12 sec
9,Muscle Beach,Jaylen Warren RB | PIT ,,11 sec
10,Roswell Aliens,Chris Godwin WR | TB ,,48 sec
11,Hawks,C.J. Stroud QB | HOU ,,1 min 2 sec
12,Jew Breez,Evan Engram TE | DEN,,23 sec
Round 8
Pick,Team,Player,Elig,Elapsed Time,
1,Jew Breez,Christian Kirk WR | SF ,,26 sec
2,Hawks,Diontae Johnson WR | CLE,,1 min 27 sec
3,Roswell Aliens,Devin Singletary RB | NYG ,,26 sec
4,Muscle Beach,Jake Ferguson TE | DAL ,,37 sec
5,Santa Fe Southsiders,Austin Ekeler RB | WAS,,10 sec
6,Fantasy Reaper,Gus Edwards RB | LAC,,7 sec
7,Deer Valley Vandals,Jayden Reed WR | GB ,,59 sec
8,South Valley Gators,Christian Watson WR | GB ,,8 sec
9,Colorado Caribou,DeAndre Hopkins WR | BAL,,20 sec
10,Espanola chili,Caleb Williams QB | CHI,,10 sec
11,Alaska Fornicating Polar Bears,Courtland Sutton WR | DEN ,,50 sec
12,Shmickle the Pickle,Keenan Allen WR | IND ,,36 sec
Round 9
Pick,Team,Player,Elig,Elapsed Time,
1,Shmickle the Pickle,Chase Brown RB | CIN ,,2 min 40 sec
2,Alaska Fornicating Polar Bears,Zack Moss RB | CIN ,,32 sec
3,Espanola chili,Adonai Mitchell WR | NYJ ,,15 sec
4,Colorado Caribou,Brian Robinson Jr. RB | ATL ,,10 sec
5,South Valley Gators,Rome Odunze WR | CHI ,,35 sec
6,Deer Valley Vandals,Jaxon Smith-Njigba WR | SEA,,58 sec
7,Fantasy Reaper,Jonathon Brooks RB | CAR ,,9 sec
8,Santa Fe Southsiders,J.K. Dobbins RB | DEN ,,5 sec
9,Muscle Beach,Dallas Goedert TE | PHI ,,3 min 22 sec
10,Roswell Aliens,Tyjae Spears RB | TEN ,,59 sec
11,Hawks,Brian Thomas Jr. WR | JAC,,2 sec
