Round 1
Pick,Team,Player,Elig,Elapsed Time,
4,Muscle Beach,Jordan Mason RB | MIN ,,14 sec
5,Heisenberg,Keon Coleman WR | BUF ,,4 min 30 sec
6,Santa Fe Southsiders,Jaylen Waddle WR | DEN ,,9 sec
7,Deer Valley Vandals,Patrick Mahomes QB | KC ,,17 sec
8,Bear with me ,Kaleb Johnson RB | PIT ,,2 min 5 sec
9,Shmickle the Pickle,Baker Mayfield QB | TB ,,7 sec
10,Roswell Aliens,Jordan Addison WR | MIN ,,10 sec
11,Espanola chili,Bryce Young QB | CAR ,,7 sec
12,Colorado Caribou,Kyler Murray QB | MIN ,,12 sec
Round 9
Pick,Team,Player,Elig,Elapsed Time,
1,Colorado Caribou,Austin Ekeler RB | WAS,,30 sec
2,Espanola chili,Trevor Etienne RB | CAR,,2 min 21 sec
3,Roswell Aliens,Travis Hunter WR | JAC,,1 min 21 sec
4,Shmickle the Pickle,Bo Nix QB | DEN ,,16 sec
5,Bear with me ,Matthew Golden WR | GB ,,7 sec
6,Deer Valley Vandals,Jaylen Warren RB | PIT ,,1 min 18 sec
7,Santa Fe Southsiders,Michael Pittman WR | PIT ,,34 sec
8,Heisenberg,Khalil Shakir WR | BUF ,,1 min 22 sec
9,Muscle Beach,Cooper Kupp WR | SEA,,3 sec
10,Big Ditka Energy,Dallas Goedert TE | PHI ,,17 sec
11,Alaska Fornicating Polar Bears,J.K. Dobbins RB | DEN ,,42 sec
12,Jew Breez,Jared Goff QB | DET ,,10 sec
Round 10
Pick,Team,Player,Elig,Elapsed Time,
1,Jew Breez,Tucker Kraft TE | GB ,,26 sec
2,Alaska Fornicating Polar Bears,Rashod Bateman WR | BAL ,,39 sec
3,Big Ditka Energy,Christian Kirk WR | SF ,,45 sec
4,Muscle Beach,Drake Maye QB | NE ,,9 sec
5,Heisenberg,Brandon Aubrey K | DAL ,,1 min 24 sec
6,Santa Fe Southsiders,Broncos DST | DEN ,,51 sec
7,Deer Valley Vandals,Stefon Diggs WR | WAS ,,58 sec
8,Bear with me ,Brock Purdy QB | SF ,,1 min 54 sec
9,Shmickle the Pickle,Ravens DST | BAL ,,2 min 11 sec
10,Roswell Aliens,Chris Olave WR | NO ,,40 sec
11,Espanola chili,Jalin Hyatt WR | NYG ,,3 sec
12,Colorado Caribou,Cameron Dicker K | LAC ,,6 sec
Round 11
Pick,Team,Player,Elig,Elapsed Time,
1,Colorado Caribou,Justin Herbert QB | LAC ,,1 sec
2,Espanola chili,Jimmy Horn Jr. WR | CAR,,6 sec
3,Roswell Aliens,Jake Bates K | DET,,43 sec
4,Shmickle the Pickle,Chris Godwin WR | TB ,,1 min 44 sec
5,Bear with me ,Eagles DST | PHI ,,41 sec
6,Deer Valley Vandals,Zach Charbonnet RB | SEA ,,10 sec
7,Santa Fe Southsiders,Justin Fields QB | KC ,,38 sec
8,Heisenberg,Dont'e Thornton Jr. WR | LV ,,10 sec
9,Muscle Beach,Raheem Mostert RB | LV ,,1 sec
10,Big Ditka Energy,Evan Engram TE | DEN,,7 sec
11,Alaska Fornicating Polar Bears,Steelers DST | PIT ,,12 sec
12,Jew Breez,Jauan Jennings WR | MIN ,,48 sec
Round 12
Pick,Team,Player,Elig,Elapsed Time,
1,Jew Breez,Bills DST | BUF ,,24 sec
2,Alaska Fornicating Polar Bears,Ka'imi Fairbairn K | HOU ,,40 sec
3,Big Ditka Energy,Texans DST | HOU ,,51 sec
4,Muscle Beach,Harrison Butker K | KC,,7 sec
5,Heisenberg,Vikings DST | MIN ,,14 sec
6,Santa Fe Southsiders,Ollie Gordon II RB | MIA ,,1 min 12 sec
7,Deer Valley Vandals,Lions DST | DET ,,33 sec
8,Bear with me ,Caleb Williams QB | CHI,,37 sec
9,Shmickle the Pickle,Tyler Bass K | BUF ,,1 min 59 sec
10,Roswell Aliens,Javonte Williams RB | DAL,,13 sec
11,Espanola chili,Chargers DST | LAC ,,33 sec
12,Colorado Caribou,Hunter Henry TE | NE,,20 sec
Round 13
Pick,Team,Player,Elig,Elapsed Time,
1,Colorado Caribou,Packers DST | GB ,,43 sec (4 min 39 sec)
2,Espanola chili,Cam Little K | JAC ,,4 sec (12 min 40 sec)
3,Roswell Aliens,Cowboys DST | DAL ,,8 sec (7 min 11 sec)
4,Shmickle the Pickle,Dalton Kincaid TE | BUF ,,1 min 49 sec (19 min 52 sec)
5,Bear with me ,Chase McLaughlin K | TB,,6 sec (14 min 15 sec)
6,Deer Valley Vandals,Wil Lutz K | DEN,,24 sec (6 min 9 sec)
7,Santa Fe Southsiders,Jason Sanders K | NYJ,,17 sec (10 min 20 sec)
8,Heisenberg,Tank Bigsby RB | PHI ,,12 sec (15 min 17 sec)
9,Muscle Beach,49ers DST | SF ,,3 sec (3 min 33 sec)
10,Big Ditka Energy,Jake Elliott K | PHI,,43 sec (13 min 16 sec)
11,Alaska Fornicating Polar Bears,Luther Burden III WR | CHI ,,22 sec (6 min 53 sec)
12,Jew Breez,Chris Boswell K | PIT,,7 sec (4 min 17 sec)
