Round 1
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Santa Fe Southsiders,Ja'Marr Chase WR | CIN ,,,213.8,204.3
2,Roswell Aliens,Christian McCaffrey RB | SF ,,28 sec,440.3,359.8
3,Muscle Beach,Austin Ekeler RB | WAS,,12 sec,163.9,155.5
4,Fantasy Reaper,Justin Jefferson WR | MIN,,9 sec,170.4,139.2
5,Espanola chili,Saquon Barkley RB | PHI ,,1 min 15 sec,205.2,72.1
6,Colorado Caribou,Josh Jacobs RB | GB ,,24 sec,163.8,163.8
7,Deer Valley Vandals,Tyreek Hill WR | MIA ,,21 sec,333.0,275.6
8,Shmickle the Pickle,Stefon Diggs WR | WAS ,,34 sec,234.3,209.1
9,Hawks,Bijan Robinson RB | ATL ,,13 sec,220.3,197.7
10,Jew Breez,Tony Pollard RB | TEN ,,9 sec,214.2,58.8
11,Saucy Sheriff ,Derrick Henry RB | BAL,,15 sec,233.2,207.0
12,Dewstruction,Nick Chubb RB | HOU ,,16 sec,21.1,21.1
Round 2
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Dewstruction,Davante Adams WR | LAR ,,13 sec,213.9,117.3
2,Saucy Sheriff ,Jalen Hurts QB | PHI,,58 sec,416.8,398.7
3,Jew Breez,CeeDee Lamb WR | DAL,,11 sec,353.7,308.7
4,Hawks,Travis Kelce TE | KC,,16 sec,243.9,173.9
5,Shmickle the Pickle,Amon-Ra St. Brown WR | DET,,1 min 22 sec,317.0,248.5
6,Deer Valley Vandals,A.J. Brown WR | NE ,,13 sec,238.6,238.2
7,Colorado Caribou,Amari Cooper WR | LV,,24 sec,199.9,111.9
8,Espanola chili,Josh Allen QB | BUF ,,29 sec,507.2,383.7
9,Fantasy Reaper,Garrett Wilson WR | NYJ ,,22 sec,168.6,58.0
10,Muscle Beach,Aaron Jones RB | MIN ,,58 sec,168.0,35.4
11,Roswell Aliens,Joe Mixon RB | HOU ,,53 sec,241.1,198.4
12,Santa Fe Southsiders,Jaylen Waddle WR | DEN ,,17 sec,167.8,156.2
Round 3
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Santa Fe Southsiders,Dameon Pierce RB | PHI ,,15 sec,76.4,1.4
2,Roswell Aliens,Mark Andrews TE | BAL ,,37 sec,115.4,112.9
3,Muscle Beach,Calvin Ridley WR | TEN ,,33 sec,193.5,88.8
4,Fantasy Reaper,Patrick Mahomes QB | KC ,,6 sec,413.6,325.1
5,Espanola chili,Travis Etienne RB | NO ,,1 min 3 sec,253.4,179.1
6,Colorado Caribou,Najee Harris RB | NYG ,,16 sec,188.2,115.1
7,Deer Valley Vandals,Lamar Jackson QB | BAL,,58 sec,432.9,373.5
8,Shmickle the Pickle,Kenneth Walker III RB | KC ,,9 sec,185.1,144.4
9,Hawks,Chris Olave WR | NO ,,15 sec,187.8,174.7
10,Jew Breez,DeVonta Smith WR | PHI ,,13 sec,206.9,126.8
11,Saucy Sheriff ,Cooper Kupp WR | SEA,,32 sec,140.4,131.9
12,Dewstruction,J.K. Dobbins RB | DEN ,,27 sec,10.7,10.7
Round 4
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Dewstruction,DeAndre Hopkins WR | BAL,,1 min 11 sec,186.1,78.7
2,Saucy Sheriff ,George Kittle TE | SF ,,13 sec,191.9,167.3
3,Jew Breez,Justin Fields QB | KC ,,41 sec,259.5,249.4
4,Hawks,Justin Herbert QB | LAC ,,1 min 29 sec,266.2,266.2
5,Shmickle the Pickle,Joe Burrow QB | CIN ,,21 sec,171.2,143.3
6,Deer Valley Vandals,Jahmyr Gibbs RB | DET ,,52 sec,264.0,201.7
7,Colorado Caribou,Keenan Allen WR | IND ,,4 sec,226.3,226.3
8,Espanola chili,Tee Higgins WR | CIN ,,37 sec,116.6,103.0
9,Fantasy Reaper,Rhamondre Stevenson RB | NE ,,2 sec,127.7,52.0
10,Muscle Beach,DK Metcalf WR | PIT ,,9 sec,192.4,190.9
11,Roswell Aliens,Deebo Samuel WR | SF ,,40 sec,236.4,209.6
12,Santa Fe Southsiders,Alexander Mattison RB | MIA,,13 sec,120.4,36.1
Round 5
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Santa Fe Southsiders,Alvin Kamara RB | NO ,,39 sec,196.6,196.6
2,Roswell Aliens,Mike Williams WR | LAC ,,1 min 25 sec,40.7,19.1
3,Muscle Beach,Darren Waller TE | CAR ,,1 min 43 sec,87.2,11.8
4,Fantasy Reaper,Breece Hall RB | NYJ ,,9 sec,252.5,106.5
5,Espanola chili,Tyler Lockett WR | LV,,46 sec,162.9,108.5
6,Colorado Caribou,Tua Tagovailoa QB | ATL ,,9 sec,336.1,312.4
7,Deer Valley Vandals,T.J. Hockenson TE | MIN ,,43 sec,172.5,147.6
8,Shmickle the Pickle,Jonathan Taylor RB | IND ,,30 sec,146.9,77.6
9,Hawks,DJ Moore WR | BUF ,,12 sec,239.5,196.7
10,Jew Breez,Miles Sanders RB | DAL,,44 sec,76.6,15.5
11,Saucy Sheriff ,James Conner RB | ARI ,,23 sec,188.0,96.6
12,Dewstruction,Deshaun Watson QB | CLE ,,8 sec,99.7,18.3
Round 6
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Dewstruction,Brandon Aiyuk WR | SF ,,47 sec,238.1,166.8
2,Saucy Sheriff ,Christian Watson WR | GB ,,9 sec,90.8,4.2
3,Jew Breez,Drake London WR | ATL ,,8 sec,140.1,21.5
4,Hawks,James Cook RB | BUF ,,13 sec,234.1,102.9
5,Shmickle the Pickle,Kyle Pitts TE | ATL ,,10 sec,111.2,50.6
6,Deer Valley Vandals,Cam Akers RB | SEA,,48 sec,41.2,8.9
7,Colorado Caribou,Evan Engram TE | DEN,,8 sec,175.3,153.2
8,Espanola chili,David Montgomery RB | HOU ,,50 sec,238.4,116.0
9,Fantasy Reaper,Rachaad White RB | WAS ,,23 sec,263.0,159.5
10,Muscle Beach,Kirk Cousins QB | LV ,,13 sec,177.5,177.5
