Round 1
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
5,Muscle Beach,Justin Herbert QB | LAC ,,22 sec,400.3,400.3
6,SaQUADs Barkley,T.J. Hockenson TE | MIN ,,10 sec,114.8,114.8
7,Espanola chile,Noah Fant TE | NO,,34 sec,125.0,56.7
8,K9-LB,Tyler Higbee TE | LAR,,52 sec,103.1,79.5
9,Roswell Aliens,Darrell Henderson Jr. RB | ,,50 sec,155.4,98.5
10,Dewstruction,Tua Tagovailoa QB | ATL ,,38 sec,194.9,106.8
11,Shmickle the Pickle,Tee Higgins WR | CIN ,,48 sec,221.7,175.4
12,Santa Fe Southsiders,JuJu Smith-Schuster WR | NYG ,,46 sec,32.4,7.8
Round 7
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Santa Fe Southsiders,Michael Carter RB | TEN,,1 min 13 sec,135.9,22.5
2,Shmickle the Pickle,Trey Sermon RB | ATL ,,19 sec,26.8,10.4
3,Dewstruction,Justin Tucker K | BAL,,7 sec,130.0,130.0
4,Roswell Aliens,Chase Edmonds RB | WAS,,1 min 18 sec,122.8,9.5
5,K9-LB,DJ Chark WR | ATL,,1 min 3 sec,30.9,12.4
6,Espanola chile,Melvin Gordon RB | ,,7 sec,184.7,17.9
7,SaQUADs Barkley,Tom Brady QB | ,,8 sec,441.2,402.3
8,Muscle Beach,Tyler Boyd WR | TEN,,2 min 46 sec,171.7,80.6
9,Deer Valley Vandals,Robert Tonyan TE | PIT,,7 sec,41.4,6.4
10,Colorado Caribou,Jerry Jeudy WR | CLE,,30 sec,66.0,38.4
11,South Valley Gators,Dallas Goedert TE | PHI ,,8 sec,149.2,33.9
12,Jew Breez,Kenny Golladay WR | ,,51 sec,66.9,0.0
Round 8
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Jew Breez,Courtland Sutton WR | DEN ,,34 sec,121.4,57.2
2,South Valley Gators,Rams DST | LAR ,,1 min 5 sec,98.0,55.0
3,Colorado Caribou,Ryan Tannehill QB | ,,14 sec,289.2,215.9
4,Deer Valley Vandals,Ja'Marr Chase WR | CIN ,,45 sec,305.5,185.3
5,Muscle Beach,James Conner RB | ARI ,,6 sec,214.9,137.6
6,SaQUADs Barkley,Antonio Brown WR | TB,,26 sec,100.1,51.0
7,Espanola chile,Marquez Callaway WR | LV,,12 sec,128.8,18.2
8,K9-LB,Leonard Fournette RB | ,,1 min 1 sec,248.3,182.8
9,Roswell Aliens,Mike Gesicki TE | CIN ,,21 sec,125.3,125.3
10,Dewstruction,Michael Gallup WR | WAS,,18 sec,74.0,68.4
11,Shmickle the Pickle,Odell Beckham Jr. WR | NYG,,37 sec,126.4,29.6
12,Santa Fe Southsiders,Jaylen Waddle WR | DEN ,,2 sec,183.6,115.1
Round 9
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Santa Fe Southsiders,Trevor Lawrence QB | JAC ,,2 sec,219.5,35.0
2,Shmickle the Pickle,Steelers DST | PIT ,,49 sec,85.0,77.0
3,Dewstruction,Buccaneers DST | TB ,,39 sec,112.0,29.0
4,Roswell Aliens,Robbie Chosen WR | WAS,,40 sec,97.5,0.0
5,K9-LB,Austin Hooper TE | ATL,,23 sec,73.5,0.0
6,Espanola chile,Marvin Jones WR | ,,1 min 11 sec,125.4,0.0
7,SaQUADs Barkley,Michael Thomas WR | ,,6 sec,0.0,0.0
8,Muscle Beach,Eagles DST | PHI ,,8 sec,94.0,71.0
9,Deer Valley Vandals,DeVonta Smith WR | PHI ,,1 min 4 sec,164.6,3.2
10,Colorado Caribou,Jamison Crowder WR | WAS,,14 sec,83.1,0.0
11,South Valley Gators,Jalen Hurts QB | PHI,,22 sec,364.1,81.9
12,Jew Breez,Ronald Jones RB | ,,40 sec,76.2,3.2
Round 10
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Jew Breez,Will Fuller WR | ,,58 sec,6.6,5.5
2,South Valley Gators,Jamaal Williams RB | NO,,40 sec,101.3,7.5
3,Colorado Caribou,Harrison Butker K | KC,,3 sec,140.0,114.0
4,Deer Valley Vandals,Kenyan Drake RB | ,,1 min 21 sec,87.5,4.1
5,Muscle Beach,Jason Sanders K | NYJ,,8 sec,94.0,76.0
6,SaQUADs Barkley,Nyheim Miller-Hines RB | NO,,25 sec,91.9,0.0
7,Espanola chile,Rodrigo Blankenship K | ,,25 sec,40.0,40.0
