Round 1
Pick,Team,Player,Elig,Elapsed Time,
1,Tulsa Trailer Trash,Christian McCaffrey RB | SF ,,
2,Dr Evil,Tyreek Hill WR | MIA ,,14 sec
3,Baltimore Ragin' Asians,Breece Hall RB | NYJ ,,25 sec
4,Springfield Psycho Chickens,CeeDee Lamb WR | DAL,,29 sec
5,Las Vegas Lechers,Ja'Marr Chase WR | CIN ,,14 sec
6,Tempe Boozehounds,Jonathan Taylor RB | IND ,,7 sec
7,Westside Shadows,Bijan Robinson RB | ATL ,,7 sec
8,Roswell Aliens,Amon-Ra St. Brown WR | DET,,23 sec
9,Iowa Ice,Derrick Henry RB | BAL,,24 sec
10,Espanola Hornets,Saquon Barkley RB | PHI ,,25 sec
11,Northern Virginia Vandals,Justin Jefferson WR | MIN,,15 sec
12,Oakland Blue Meanies,Kyren Williams RB | LAR,,28 sec
Round 2
Pick,Team,Player,Elig,Elapsed Time,
1,Oakland Blue Meanies,Alvin Kamara RB | NO ,,20 sec
2,Northern Virginia Vandals,A.J. Brown WR | NE ,,20 sec
3,Espanola Hornets,Jalen Hurts QB | PHI,,9 sec
4,Iowa Ice,Garrett Wilson WR | NYJ ,,18 sec
5,Roswell Aliens,Jahmyr Gibbs RB | DET ,,26 sec
6,Westside Shadows,Marvin Harrison Jr. WR | ARI ,,18 sec
7,Tempe Boozehounds,Isiah Pacheco RB | DET ,,28 sec
8,Las Vegas Lechers,Josh Allen QB | BUF ,,13 sec
9,Springfield Psycho Chickens,Puka Nacua WR | LAR ,,26 sec
10,Baltimore Ragin' Asians,Drake London WR | ATL ,,47 sec
11,Dr Evil,Josh Jacobs RB | GB ,,44 sec
12,Tulsa Trailer Trash,Travis Kelce TE | KC,,19 sec
Round 3
Pick,Team,Player,Elig,Elapsed Time,
1,Tulsa Trailer Trash,Joe Mixon RB | HOU ,,41 sec
2,Dr Evil,Chris Olave WR | NO ,,26 sec
3,Baltimore Ragin' Asians,Cooper Kupp WR | SEA,,23 sec
4,Springfield Psycho Chickens,Sam LaPorta TE | DET ,,20 sec
5,Las Vegas Lechers,Travis Etienne RB | NO ,,7 sec
6,Tempe Boozehounds,Deebo Samuel WR | SF ,,30 sec
7,Westside Shadows,Nico Collins WR | HOU ,,14 sec
8,Roswell Aliens,James Cook RB | BUF ,,26 sec
9,Iowa Ice,De'Von Achane RB | MIA ,,9 sec
10,Espanola Hornets,Rachaad White RB | WAS ,,16 sec
11,Northern Virginia Vandals,Davante Adams WR | LAR ,,13 sec
12,Oakland Blue Meanies,Mike Evans WR | SF ,,35 sec
Round 4
Pick,Team,Player,Elig,Elapsed Time,
1,Oakland Blue Meanies,Patrick Mahomes QB | KC ,,10 sec
2,Northern Virginia Vandals,Kenneth Walker III RB | KC ,,23 sec
3,Espanola Hornets,Mark Andrews TE | BAL ,,22 sec
4,Iowa Ice,Jaylen Waddle WR | DEN ,,15 sec
5,Roswell Aliens,Brandon Aiyuk WR | SF ,,38 sec
6,Westside Shadows,C.J. Stroud QB | HOU ,,27 sec
7,Tempe Boozehounds,Lamar Jackson QB | BAL,,26 sec
8,Las Vegas Lechers,DK Metcalf WR | PIT ,,12 sec
9,Springfield Psycho Chickens,James Conner RB | ARI ,,44 sec
10,Baltimore Ragin' Asians,DJ Moore WR | BUF ,,33 sec
11,Dr Evil,Trey McBride TE | ARI ,,23 sec
12,Tulsa Trailer Trash,Tee Higgins WR | CIN ,,36 sec
Round 5
Pick,Team,Player,Elig,Elapsed Time,
1,Tulsa Trailer Trash,Stefon Diggs WR | WAS ,,40 sec
2,Dr Evil,George Pickens WR | DAL,,17 sec
3,Baltimore Ragin' Asians,Dalton Kincaid TE | BUF ,,1 min 25 sec
4,Springfield Psycho Chickens,DeVonta Smith WR | PHI ,,6 sec
5,Las Vegas Lechers,Evan Engram TE | DEN,,13 sec
6,Tempe Boozehounds,Malik Nabers WR | NYG ,,1 min 3 sec
7,Westside Shadows,David Montgomery RB | HOU ,,6 sec
8,Roswell Aliens,George Kittle TE | SF ,,28 sec
9,Iowa Ice,Rashee Rice WR | KC,,42 sec
10,Espanola Hornets,Zamir White RB | SF ,,13 sec
11,Northern Virginia Vandals,Kyle Pitts TE | ATL ,,23 sec
12,Oakland Blue Meanies,Michael Pittman WR | PIT ,,15 sec
Round 6
Pick,Team,Player,Elig,Elapsed Time,
1,Oakland Blue Meanies,Amari Cooper WR | LV,,2 sec
2,Northern Virginia Vandals,Anthony Richardson QB | IND ,,34 sec
3,Espanola Hornets,Jordan Love QB | GB ,,50 sec
4,Iowa Ice,Zay Flowers WR | BAL ,,39 sec
5,Roswell Aliens,Dak Prescott QB | DAL ,,7 sec
6,Westside Shadows,Calvin Ridley WR | TEN ,,1 min 2 sec
7,Tempe Boozehounds,Raheem Mostert RB | LV ,,33 sec
8,Las Vegas Lechers,Javonte Williams RB | DAL,,20 sec
9,Springfield Psycho Chickens,D'Andre Swift RB | CHI,,32 sec
10,Baltimore Ragin' Asians,Kyler Murray QB | MIN ,,15 sec
11,Dr Evil,Najee Harris RB | NYG ,,15 sec
12,Tulsa Trailer Trash,Joe Burrow QB | CIN ,,15 sec
Round 7
Pick,Team,Player,Elig,Elapsed Time,
1,Tulsa Trailer Trash,Chris Godwin WR | TB ,,4 sec
2,Dr Evil,Christian Kirk WR | SF ,,14 sec
3,Baltimore Ragin' Asians,Aaron Jones RB | MIN ,,20 sec
4,Springfield Psycho Chickens,Brock Purdy QB | SF ,,4 sec
5,Las Vegas Lechers,Jerome Ford RB | WAS ,,17 sec
6,Tempe Boozehounds,Jake Ferguson TE | DAL ,,1 min 11 sec
7,Westside Shadows,Jayden Reed WR | GB ,,47 sec
8,Roswell Aliens,Xavier Worthy WR | KC ,,24 sec
9,Iowa Ice,David Njoku TE | LAC ,,3 min 0 sec
10,Espanola Hornets,Tank Dell WR | HOU ,,9 sec
11,Northern Virginia Vandals,Terry McLaurin WR | WAS ,,22 sec
12,Oakland Blue Meanies,Rhamondre Stevenson RB | NE ,,18 sec
Round 8
Pick,Team,Player,Elig,Elapsed Time,
1,Oakland Blue Meanies,Jared Goff QB | DET ,,13 sec
2,Northern Virginia Vandals,Tony Pollard RB | TEN ,,60 sec
3,Espanola Hornets,Christian Watson WR | GB ,,29 sec
4,Iowa Ice,Trevor Lawrence QB | JAC ,,20 sec
5,Roswell Aliens,Jaylen Warren RB | PIT ,,48 sec
6,Westside Shadows,Rome Odunze WR | CHI ,,9 sec
7,Tempe Boozehounds,Diontae Johnson WR | CLE,,58 sec
8,Las Vegas Lechers,Courtland Sutton WR | DEN ,,10 sec
9,Springfield Psycho Chickens,Brian Robinson Jr. RB | ATL ,,27 sec
10,Baltimore Ragin' Asians,Devin Singletary RB | NYG ,,14 sec
11,Dr Evil,Zack Moss RB | CIN ,,22 sec
12,Tulsa Trailer Trash,DeAndre Hopkins WR | BAL,,1 min 12 sec
Round 9
Pick,Team,Player,Elig,Elapsed Time,
1,Tulsa Trailer Trash,Keenan Allen WR | IND ,,28 sec
2,Dr Evil,Tua Tagovailoa QB | ATL ,,35 sec
3,Baltimore Ragin' Asians,Tyjae Spears RB | TEN ,,8 sec
4,Springfield Psycho Chickens,Brock Bowers TE | LV ,,9 sec
5,Las Vegas Lechers,Gus Edwards RB | LAC,,30 sec
6,Tempe Boozehounds,Nick Chubb RB | HOU ,,1 min 11 sec
7,Westside Shadows,Dallas Goedert TE | PHI ,,12 sec
8,Roswell Aliens,Chase Brown RB | CIN ,,20 sec
9,Iowa Ice,Austin Ekeler RB | WAS,,11 sec
10,Espanola Hornets,Brian Thomas Jr. WR | JAC,,51 sec
11,Northern Virginia Vandals,Jonathon Brooks RB | CAR ,,56 sec
12,Oakland Blue Meanies,Marquise Brown WR | PHI ,,12 sec
Round 10
Pick,Team,Player,Elig,Elapsed Time,
1,Oakland Blue Meanies,Harrison Butker K | KC,,4 sec
2,Northern Virginia Vandals,Jaxon Smith-Njigba WR | SEA,,11 sec
3,Espanola Hornets,Adonai Mitchell WR | NYJ ,,22 sec
4,Iowa Ice,Dalton Schultz TE | HOU ,,33 sec
5,Roswell Aliens,Keon Coleman WR | BUF ,,53 sec
6,Westside Shadows,Caleb Williams QB | CHI,,5 sec
7,Tempe Boozehounds,Cowboys DST | DAL ,,18 sec
8,Las Vegas Lechers,Ravens DST | BAL ,,5 sec
9,Springfield Psycho Chickens,Jameson Williams WR | DET ,,8 sec
10,Baltimore Ragin' Asians,Khalil Shakir WR | BUF ,,8 sec
11,Dr Evil,Josh Palmer WR | BUF,,15 sec
12,Tulsa Trailer Trash,Jets DST | NYJ ,,16 sec
Round 11
Pick,Team,Player,Elig,Elapsed Time,
1,Tulsa Trailer Trash,J.K. Dobbins RB | DEN ,,24 sec
2,Dr Evil,"Rico Dowdle RB | PIT ",,7 sec
3,Baltimore Ragin' Asians,Ezekiel Elliott RB | ,,1 min 18 sec
4,Springfield Psycho Chickens,Jayden Daniels QB | WAS ,,4 sec
5,Las Vegas Lechers,Adam Thielen WR | PIT ,,19 sec
6,Tempe Boozehounds,Jordan Addison WR | MIN ,,40 sec
7,Westside Shadows,Seahawks DST | SEA ,,9 sec
8,Roswell Aliens,Brandon Aubrey K | DAL ,,33 sec
9,Iowa Ice,Aaron Rodgers QB | PIT ,,4 sec
10,Espanola Hornets,Brandin Cooks WR | BUF,,54 sec
11,Northern Virginia Vandals,Ladd McConkey WR | LAC ,,13 sec
12,Oakland Blue Meanies,Cole Kmet TE | CHI,,12 sec
Round 12
Pick,Team,Player,Elig,Elapsed Time,
1,Oakland Blue Meanies,Browns DST | CLE ,,2 sec
