Round 1
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
2,Espanola chili,Alec Pierce WR | IND ,,1 min 27 sec,91.8,42.5
3,Santa Fe Southsiders,Miles Sanders RB | DAL,,6 sec,237.8,150.0
4,Muscle Beach,Rhamondre Stevenson RB | NE ,,5 sec,216.0,124.3
5,South Valley Gators,Chris Godwin WR | TB ,,21 sec,186.3,150.9
6,Dewstruction,Dawson Knox TE | BUF,,49 sec,130.2,81.2
7,Deer Valley Vandals,Gabe Davis WR | BUF,,48 sec,173.3,61.1
8,Jew Breez,Allen Lazard WR | NYJ,,19 sec,144.8,39.3
9,Hawks,Robert Woods WR | PIT ,,34 sec,90.2,5.7
10,Shmickle the Pickle,Antonio Gibson RB | NE,,10 sec,142.9,56.8
11,Roswell Aliens,Amon-Ra St. Brown WR | DET,,33 sec,214.6,190.3
12,Colorado Caribou,James Robinson RB | ,,6 sec,83.1,32.9
Round 8
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Colorado Caribou,Tom Brady QB | ,,15 sec,348.8,315.1
2,Roswell Aliens,Tony Pollard RB | TEN ,,35 sec,244.0,94.5
3,Shmickle the Pickle,Joe Burrow QB | CIN ,,7 sec,461.0,364.8
4,Hawks,Dallas Goedert TE | PHI ,,14 sec,142.8,107.1
5,Jew Breez,Hunter Renfrow WR | CAR,,20 sec,62.0,0.0
6,Deer Valley Vandals,Rashaad Penny RB | ,,1 min 6 sec,50.2,0.0
7,Dewstruction,Aaron Rodgers QB | PIT ,,41 sec,280.3,72.8
8,South Valley Gators,Cordarrelle Patterson RB | PIT,,6 sec,145.2,36.3
9,Muscle Beach,Dak Prescott QB | DAL ,,12 sec,280.1,5.8
10,Santa Fe Southsiders,Tyler Allgeier RB | ARI ,,10 sec,153.4,6.9
11,Espanola chili,Mike Gesicki TE | CIN ,,41 sec,90.7,0.8
12,Fantasy Reaper,Trey Lance QB | LAC ,,8 sec,14.4,14.4
Round 9
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Fantasy Reaper,Darrell Henderson Jr. RB | ,,6 sec,65.0,12.2
2,Espanola chili,Chris Olave WR | NO ,,38 sec,164.2,130.4
3,Santa Fe Southsiders,DeVonta Smith WR | PHI ,,6 sec,241.3,83.3
4,Muscle Beach,T.J. Hockenson TE | MIN ,,8 sec,191.3,171.3
5,South Valley Gators,Darnell Mooney WR | NYG,,2 sec,81.9,9.0
6,Dewstruction,Justin Tucker K | BAL,,30 sec,147.0,132.0
7,Deer Valley Vandals,Amari Cooper WR | LV,,1 min 30 sec,207.0,65.0
8,Jew Breez,Pat Freiermuth TE | PIT ,,7 sec,116.7,111.6
9,Hawks,Bills DST | BUF ,,6 sec,122.0,44.0
10,Shmickle the Pickle,George Pickens WR | DAL,,1 min 18 sec,140.5,46.7
11,Roswell Aliens,Tyler Lockett WR | LV,,55 sec,204.2,161.9
12,Colorado Caribou,Zach Ertz TE | WAS,,6 sec,92.1,92.1
Round 10
Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts,
1,Colorado Caribou,Drake London WR | ATL ,,7 sec,145.6,15.6
2,Roswell Aliens,Matthew Stafford QB | LAR,,40 sec,132.5,0.0
3,Shmickle the Pickle,Derek Carr QB | NO ,,18 sec,254.0,41.9
4,Hawks,Tyler Bass K | BUF ,,28 sec,143.0,124.0
5,Jew Breez,Nyheim Miller-Hines RB | NO,,13 sec,69.6,1.3
6,Deer Valley Vandals,Elijah Moore WR | PHI ,,43 sec,70.6,0.0
7,Dewstruction,Evan Engram TE | DEN,,56 sec,164.8,3.4
8,South Valley Gators,Michael Gallup WR | WAS,,15 sec,99.0,11.4
9,Muscle Beach,Darrel Williams RB | ,,13 sec,19.1,0.0
